Range? (y/n),Segment,Rank TY,Rank LY,Segment % share,ALM description,ALM item code,Barcode (GTIN),Supplier,Stock type,Carton size,Unit cost ex GST,Already stocked (barcode match)
,OTHER SPIRITS,9,10,2.47%,APEROL SPRITZ PACK 700ML+750ML,615436,9343496001702,,core-extract,3.0,28.57,
,OTHER SPIRITS,10,20,1.94%,HENNESSY VS NAKED BOTTLE 700ML,14559,3245990043300,,core-extract,6.0,66.31,
,OTHER SPIRITS,11,13,1.90%,DE KUYPER SCHNAP B/SCOTCH700ML,785985,8710625502309,,core-extract,6.0,43.49,
,OTHER SPIRITS,12,11,1.78%,AKROPOLIS OUZO       6PK 700ML,593626,9320000030779,,core-extract,6.0,49.29,
,OTHER SPIRITS,13,14,1.78%,HENNESSY COG VSOP        700ML,571491,3245999484319,,core-extract,6.0,91.76,
,OTHER SPIRITS,14,12,1.73%,DE KUYPER SCHNAP PEACH   700ML,786326,8710625502255,,core-extract,6.0,43.50,
,OTHER SPIRITS,15,19,1.71%,BARBARESSO OYZO          700ML,585814,9300612230354,,core-extract,6.0,48.58,
,OTHER SPIRITS,16,9,1.64%,MARTELL BLUE SWIFT       700ML,259727,3219820006070,,core-extract,6.0,97.51,
,OTHER SPIRITS,17,15,1.44%,ANGOSTURA BITTERS        473ML,530678,0075496001602,,core-extract,12.0,46.05,
,OTHER SPIRITS,18,67,1.34%,CONVICT AROMATIC BITTERS 250ML,234887,9369998052745,,core-extract,12.0,15.74,
,OTHER SPIRITS,19,17,1.27%,ST AGNES VS BRANDY       375ML,558223,9300694000531,,core-extract,12.0,22.71,
,OTHER SPIRITS,20,18,1.06%,SOHO LYCHEE FLAV SPIRIT  700ML,543074,3047100057159,,core-extract,6.0,34.39,
,OTHER SPIRITS,21,22,0.84%,CHAT TANUNDA BRANDY      700ML,573980,9314239000405,,core-extract,6.0,46.07,
,OTHER SPIRITS,22,21,0.78%,CHATELLE NAP BRNDY VSOP  700ML,571190,9310815671007,,core-extract,6.0,52.95,
,OTHER SPIRITS,23,23,0.69%,PERNOD                   700ML,581218,3047100090316,,core-extract,6.0,47.43,
,OTHER SPIRITS,24,24,0.64%,RODELL NAPOLEON BRANDY 40% 1L,261114,5414145035370,,core-extract,6.0,56.16,
,OTHER SPIRITS,25,25,0.57%,ST AGNES VSOP 5YO        700ML,553281,9300694000715,,core-extract,6.0,43.79,
,OTHER SPIRITS ALL KEGS,1,1,100.00%,WORKSMITH GRFRUIT MARG KEG 30L,653861,,,,,,
,RUM DARK,1,1,35.48%,BUNDY RUM UP                1L,656322,9311866008705,,core-extract,6.0,63.02,
,RUM DARK,2,2,13.36%,BUNDY RUM UP             700ML,523587,9311866005049,,core-extract,12.0,44.13,
,RUM DARK,3,3,9.90%,KRAKEN BLACK SPICED RUM  700ML,558430,0811538013055,,core-extract,6.0,56.04,
,RUM DARK,4,4,5.34%,BUNDY RUM UP            1125ML,527727,9311866005032,,core-extract,12.0,72.55,
,RUM DARK,5,5,4.24%,BUNDY RUM RED               1L,526514,9311866009856,,core-extract,6.0,63.03,
,RUM DARK,6,6,3.61%,BUNDY BOURB CAMPFIRE RUM 700ML,392800,9310495089741,,core-extract,6.0,47.65,
,RUM DARK,7,7,2.51%,BUNDY MDC SML BATCH 40%  700ML,94813,9310495079056,,core-extract,6.0,63.90,
,RUM DARK,8,10,2.16%,KRAKEN BLACK SPICED RUM     1L,287377,0811538018753,,core-extract,6.0,83.80,
